Timestamp,Name,Email,Wallet_Address,Rating(1-5),Feedback
2026-04-01T10:32:20.716Z,Shaurya Pillai,shaurya.pillai10@gmail.com,GKPVYLOCG3TKB4INLNOO6HGMNTDLN2DEWUJD2AIPQBFUUXFC4NRICKGN,5,"Love the concept!"
2026-04-01T13:26:42.399Z,Saurabh Reddy,saurabh.reddy26@gmail.com,G7XVRJKGBXWMBCB2YQKJRVHHR7OWJLLWUH2KKEQGUBJLN2SFBAPL3O3O,4,"Needs better onboarding for beginners."
2026-05-07T16:03:27.103Z,Anita Banerjee,anita.banerjee9@gmail.com,GJV6VIMPH2AK2ORWW7FU3S5I4W3FR2MGDE4ICIMWOYCFZB7UVUIHQ25V,4,"I had some issues with the transaction popping up, but it worked."
2026-04-16T11:47:17.110Z,Shaurya Desai,shaurya.desai99@gmail.com,G3QPAHVRUH6EVY3SXL7WE5AQDGPTSTJ3RDFN2NXZZSPH735C222LQISZ,5,"Great platform, easy to use!"
2026-03-31T07:07:43.885Z,Prakash Kapoor,prakash.kapoor19@gmail.com,GET7NXPXZ7ACLVAM5PMLPZBCHHD5GM6TDBYMC5SXH2UXZPW34IBHEULS,4,"Dashboard analytics would be great."
2026-05-26T19:18:31.916Z,Rohan Nair,rohan.nair14@gmail.com,GFBM7BSG4LE3C3HCAEOBHIH34PHICDLWYZANGURROOAY7OLL2AZA6OBM,5,"Really cool project on Stellar!"
2026-05-14T12:59:32.614Z,Krishna Verma,krishna.verma17@gmail.com,GVDKDHCVF5OG2TZMA5YFI35SBI4ACKB6YXMYIC74F5JU3PK35V7RY4NA,4,"Awesome idea for learning and earning."
2026-06-24T22:56:17.626Z,Pooja Kumar,pooja.kumar16@gmail.com,GUPYHAEZQFACRG2KUSMPAVKCB27HW6H56ZUJEHUKVVSLOAG6YQUOXZK7,4,"I love how fast the payouts are."
2026-04-09T02:37:31.291Z,Krishna Kumar,krishna.kumar51@gmail.com,GU44KNWIFNZDKELADBAXWG23WZFTIJITWHTDJ6YSJXZTIYLTDEVAHVQL,4,"Great platform, easy to use!"
2026-04-18T21:08:54.824Z,Sanjay Sen,sanjay.sen27@gmail.com,GL5BX4ARJWWVE3HLDA7DJ6DGJ3ZDKOW5K63AXK4F3263TDVH6OBJ2XZA,4,"Solid UI but could use a dark mode toggle."
2026-03-07T12:57:27.611Z,Priya Banerjee,priya.banerjee91@gmail.com,GD6RY7X7DPTLZBTVJLT3R4CZUMX2HR35XNM5LYTR7N6EGGRTERORODDP,4,"Solid UI but could use a dark mode toggle."
2026-03-21T12:22:41.822Z,Nitin Nair,nitin.nair22@gmail.com,GSPP6THVLU3JZD5BTKJLEJHFXUVB7SRIC67VUUTQSVSNCP7Y2M37X2RY,4,"I love how fast the payouts are."
2026-05-07T14:05:16.611Z,Manish Joshi,manish.joshi9@gmail.com,G6HQR6SAHY2MUSOXUHHF3UJ4CJETEITECD5PUKNWNTYZKNTMKWJGOD3P,4,"Solid UI but could use a dark mode toggle."
2026-05-07T05:45:36.917Z,Amit Nair,amit.nair89@gmail.com,GOUGMFB46F7BXM74VDDMDZBBHYOOXVW43V4ZBEGFY3GH5NAGZBVVXNEZ,4,"Solid UI but could use a dark mode toggle."
2026-06-06T03:12:14.771Z,Saurabh Chatterjee,saurabh.chatterjee18@gmail.com,GKNBK7IO4FWQJURA2AFNHWPT7I3RTIXKEXBYXW4W56R7ZE6TQ6OPXUFR,5,"Dashboard analytics would be great."
2026-05-09T14:38:07.516Z,Vivaan Patel,vivaan.patel92@gmail.com,GDFGUCAAAGMOEGQ5S57NSTRWVPGSGY4AE7JKUSJEYQLG3QRFAQ6AUOYN,4,"The Freighter wallet integration is super smooth."
2026-05-10T06:53:24.055Z,Aarav Chatterjee,aarav.chatterjee71@gmail.com,GH4WSSGIK3SR74QXNKP7UPP27MXKSJFZSHCSKMCSHXJKTOKXHGYV27UF,4,"Great platform, easy to use!"
2026-03-25T00:31:56.298Z,Shruti Menon,shruti.menon26@gmail.com,GKLWEFI4E733MHXQIR5Y7VCDUA3WZW6YNIYODRV3CM5QEVKRLP4Y2BED,4,"Love the concept!"
2026-04-23T13:00:09.591Z,Krishna Pillai,krishna.pillai77@gmail.com,GPASWVKU7AIDWVWHCTIWHTSXA2H3PS3ENZ6UC2QCALC3JFMTMKKGBUKS,4,"Smooth experience overall."
2026-06-24T23:14:28.454Z,Suresh Desai,suresh.desai51@gmail.com,GEALX6V4G5UYB2W423RT5E5JFLCQCZS64YQ43BL756IFYJ5CMV2HY5ZP,5,"Smooth experience overall."
2026-03-04T22:27:01.461Z,Sonia Pillai,sonia.pillai10@gmail.com,GP3CAS455UGRBT2UFPCGAKVQR24XGTC5YDIJRP4K27GXRVHEZGQDZIGN,4,"Awesome idea for learning and earning."
2026-06-27T01:54:58.489Z,Rajesh Sen,rajesh.sen28@gmail.com,G622YDIH6W6GXAF4VTH3UG3HG2HYGRMD27VZLAQODJUZUEQH7UAF4RSO,4,"Solid UI but could use a dark mode toggle."
2026-05-23T09:25:17.179Z,Anita Joshi,anita.joshi38@gmail.com,G7OLTZ63BLJGCSCV72TZW46KNLDKKXKGJTZFARXGKT736QDRDFQ4JBSM,5,"Really cool project on Stellar!"
2026-04-25T23:25:34.413Z,Priya Iyer,priya.iyer3@gmail.com,GLKKYMPH5DE3B3DU3FS2ANGE2W5LOOI33PY7N5WORAMR6DILN6DI4PIF,5,"Dashboard analytics would be great."
2026-03-14T10:15:45.871Z,Anita Patel,anita.patel90@gmail.com,GKZU5Z7IIQ4IBNCXLPIRNZUSJMMGLGBALMB3YUPAL57VHQ2FTVJWD56Z,4,"Really cool project on Stellar!"
2026-05-19T10:23:15.667Z,Jyoti Das,jyoti.das98@gmail.com,GVAQICF3DIWFD3XWX6BIDMVLIMHPTWZBSS4YQTPQGWKHJOM4AMPDTB5B,4,"I love how fast the payouts are."
2026-06-02T02:09:49.990Z,Sonia Patel,sonia.patel26@gmail.com,GCKBEW55SEQBMUD62JSMG4MPW42YLCV25YTGD74CNAX35Z74YFAJOOSO,5,"Love the concept!"
2026-03-18T19:53:49.427Z,Diya Banerjee,diya.banerjee75@gmail.com,GTG5GYZGF5EIMRVDVQW4NGXAQJZN64MU3WBB3TMNJTX4WQDHBNWVQ5SH,4,"Great platform, easy to use!"
2026-04-09T18:30:14.018Z,Ankit Nair,ankit.nair55@gmail.com,G5S54VYKDXHVGJ3NADRRMHKQAXRBR242CWIB5D457CCKG3GZH7S5PDS2,4,"Love the concept!"
2026-03-31T01:31:33.120Z,Kiran Verma,kiran.verma36@gmail.com,G64OXPKSICLTLZEEJKF7PD5AHRMACK64MESL2X34UVYVDMMYEN265JUM,5,"Awesome idea for learning and earning."
